是吗ID,尺码注释（对应商品主表的商品属性）,尺码排序,更新时间
1,M,98,20170616
2,L,97,20170616
3,XL,96,20170616
4,S,99,20170616
5,均码,94,20170616
6,25,93,20170616
7,26,92,20170616
8,27,91,20170616
9,28,90,20170616
10,37,83,20170616
11,38,82,20170616
12,39,81,20170616
13,36,84,20170616
14,29,89,20170616
15,30,88,20170616
16,5码 3岁,80,20170616
17,7码 5-6岁,79,20170616
18,9码 8-9岁,78,20170616
19,11码 10-12岁,77,20170616
20,35,84,20170616
21,XXL,95,20170616
22,32,86,20170616
23,33,85,20170616
24,34,85,20170616
25,24,0,20170616
26,40,0,20170616
27,M码=均码，略偏小,0,20170616
28,黑底拼红领,0,20170616
29,随机,0,20170616
30,黑色,0,20170616
31,XS,0,20170616
32,军绿,0,20170616
33,红条纹,0,20170616
34,70B,0,20170616
35,75B,0,20170616
36,80B,0,20170616
37,85B,0,20170616
38,70A,0,20170616
39,75A,0,20170616
40,80A,0,20170616
41,85A,0,20170616
42,41,0,20170616
43,42,0,20170616
44,43,0,20170616
45,44,0,20170616
46,45,0,20170616
47,杏拼蓝,0,20170616
48,70A/B,0,20170616
49,75A/B,0,20170616
50,80A/B,0,20170616
51,85A/B,0,20170616
52,70C,0,20170616
53,75C,0,20170616
54,80C,0,20170616
55,85C,0,20170616
56,70B(A/B),0,20170616
57,75B(A/B),0,20170616
58,80B(A/B),0,20170616
59,36-37,0,20170616
60,38-39,0,20170616
61,40-41,0,20170616
62,砖红,0,20170616
63,宝蓝,0,20170616
64,肉色,0,20170616
65,70（A/B）,0,20170616
66,75（A/B）,0,20170616
67,80（A/B）,0,20170616
68,85（A/B）,0,20170616
69,男士均码,0,20170616
70,女士均码,0,20170616
71,70A-B,0,20170616
72,75A-B,0,20170616
73,80A-B,0,20170616
74,70B(A-B),0,20170616
75,75B(A-B),0,20170616
76,80B(A-B),0,20170616
77,70A、B,0,20170616
78,75A、B,0,20170616
79,80A、B,0,20170616
80,85A、B,0,20170616
81,可调节,0,20170616
82,70A厚杯,0,20170616
83,70B厚杯,0,20170616
84,75A厚杯,0,20170616
85,75B厚杯,0,20170616
86,80A厚杯,0,20170616
87,80B厚杯,0,20170616
88,85A厚杯,0,20170616
89,85B厚杯,0,20170616
90,70C薄杯,0,20170616
91,75C薄杯,0,20170616
92,80C薄杯,0,20170616
93,85C薄杯,0,20170616
94,情侣闺蜜款,0,20170616
95,黑条,0,20170616
96,黄条,0,20170616
97,暗红,0,20170616
98,1,0,20170616
99,2,0,20170616
100,3,0,20170616
101,4,0,20170616
102,5,0,20170616
103,7,0,20170616
104,9,0,20170616
105,11,0,20170616
106,13,0,20170616
107,成人款,0,20170616
108,耳环,0,20170616
109,F,0,20170616
110,6s,0,20170616
111,7s,0,20170616
112,蓝绿拼深灰色,0,20170616
113,90C,0,20170616
114,90B,0,20170616
115,黑拼黄,0,20170616
116,6,0,20170616
117,红色,0,20170616
118,绿色,0,20170616
119,6p,0,20170616
120,7p,0,20170616
121,连裤,0,20170616
122,踩脚,0,20170616
123,4CM,0,20170616
124,5CM,0,20170616
125,90-110,0,20170616
126,110-130,0,20170616
127,1米1-1米3,0,20170616
128,130-140,0,20170616
129,160,0,20170616
130,165,0,20170616
131,170,0,20170616
132,XXXL,0,20170616
133,女l,0,20170616
134,女XL,0,20170616
135,男XL,0,20170616
136,男XXL,0,20170616
137,加厚踩脚款,0,20170616
138,加连袜脚款,0,20170616
139,加厚连袜脚款,0,20170616
140,灰拼灰毛,0,20170616
141,灰绿拼黑毛,0,20170616
142,宽松版均码,0,20170616
143,S/L,0,20170616
144,S/M,0,20170616
145,M/L,0,20170616
146,S-M,0,20170616
147,M-L,0,20170616
148,110,0,20170616
149,120,0,20170616
150,130,0,20170616
151,140,0,20170616
152,150,0,20170616
153,110cm,0,20170616
154,120cm,0,20170616
155,130cm,0,20170616
156,140cm,0,20170616
157,150cm,0,20170616
158,55-S码,0,20170616
159,66-M码,0,20170616
160,77-L码,0,20170616
161,XXXXL,0,20170616
162,90,0,20170616
163,100,0,20170616
164,77,0,20170616
165,666,1,20170616
166,白色,0,20170616
167,M等于均码,0,20170616
168,31,0,20170616
169,深粉,0,20170616
170,浅粉,0,20170616
171,M=32-34,0,20170616
172,L=34-36,0,20170616
173,XL=34-36,0,20170616
174,S等于均码,0,20170616
175,S码等于均码,0,20170616
176,红格子,0,20170616
177,M等于中码,0,20170616
178,咖配咖,0,20170616
179,26-31,0,20170616
180,深灰色,0,20170616
181,黑银色,0,20170616
182,32a/b,0,20170616
183,34a/b,0,20170616
184,36a/b,0,20170616
185,38a/b,0,20170616
186,32C,0,20170616
187,34C,0,20170616
188,36C,0,20170616
189,38C,0,20170616
190,32ab,0,20170616
191,34ab,0,20170616
192,36ab,0,20170616
193,38ab,0,20170616
194,M（建议闺蜜 情侣装）,0,20170616
195,L（建议闺蜜 情侣装）,0,20170616
196,XL（建议情侣装）,0,20170616
197,S 3-5岁,0,20170616
198,M 6-8岁,0,20170616
199,L 8-11岁,0,20170616
200,15,0,20170616
201,宽条黑,0,20170616
202,34BC,0,20170616
203,36BC,0,20170616
204,38BC,0,20170616
205,40BC,0,20170616
206,A,0,20170616
207,B,0,20170616
208,C,0,20170616
209,M码等于中码,0,20170616
210,M码等于均码,0,20170616
211,以裙子颜色为准S,0,20170616
212,以裙子颜色为准M,0,20170616
213,均码（300斤都可穿）,0,20170616
214,均码（颜色以上衣为准）,0,20170616
215,均码（以吊带颜色为准）,0,20170616
216,40ab,0,20170616
217,32a,0,20170616
218,32b,0,20170616
219,34b,0,20170616
220,34a,0,20170616
221,36a,0,20170616
222,36b,0,20170616
223,38b,0,20170616
224,38a,0,20170616
225,40a,0,20170616
226,40b,0,20170616
227,S(大人）,0,20170616
228,大人(S),0,20170616
229,大人(M),0,20170616
230,大人(L),0,20170616
231,大人(XL),0,20170616
232,小孩（100）,0,20170616
233,小孩（110）,0,20170616
234,小孩（120）,0,20170616
235,小孩（130）,0,20170616
236,小孩（140）,0,20170616
237,均码{以领口颜色为主）,0,20170616
238,均码（以领口颜色为主）,0,20170616
239,70*70cm,0,20170616
240,大号,0,20170616
241,小号,0,20170616
242,i6,0,20170616
243,40C,0,20170616
244,均码（以后背颜色为准）,0,20170616
245,M 165CM,0,20170616
246,S 160CM,0,20170616
247,4码(2-3岁）,0,20170616
248,6码(4-5岁）,0,20170616
249,8码(5-8岁）,0,20170616
250,L 170CM,0,20170616
251,XL 175CM,0,20170616
252,XXL 180CM,0,20170616
253,女码M(80-120斤可穿）,0,20170616
255,男码L(80-160斤可穿）,0,20170616
256,8,1,20170616
257,D,1,20170616
258,10,0,20170616
259,全粉,0,20170616
260,2岁,0,20170616
261,4岁,0,20170616
262,6岁,0,20170616
263,8岁,0,20170616
264,2码,0,20170616
265,4码,0,20170616
266,6码,0,20170616
267,8码,0,20170616
268,38abc,0,20170616
269,36abc,0,20170616
270,34abc,0,20170616
271,32abc,0,20170616
272,XL/XXL,0,20170616
273,大人款,0,20170616
274,SMLXLXXL均码25262728293032333436353738395码 3岁7码 5-6岁,0,20170616
275,小孩S,0,20170616
276,小孩M,0,20170616
277,小孩L,0,20170616
278,0,0,20170616
279,1,0,20170616
280,2,0,20170616
281,1月2日,0,20170616
282,2月3日,0,20170616
283,3月4日,0,20170616
284,4月5日,0,20170616
285,5月6日,0,20170616
286,6月7日,0,20170616
287,M（3-5）,0,20170616
288,L（5-7）,0,20170616
289,XL（7-10）,0,20170616
290,0-1,0,20170616
